"datetime","campaign","channel","gender","age","country_code","count","theta_sid","theta_uid","hll_sid","hll_uid"
"2022-12-02T10:00:00.000Z","af-1 Latest News","affiliate","m","26-35","CZ","3","AQMDAAA6zJOdxSL8nlenWQ==","AQMDAAA6zJPHzrDmbDIXXw==","AgEHDAMIAQA6i0UI","AgEHDAMIAQBmHBIE"
"2022-12-02T10:00:00.000Z","af-1 Latest News","affiliate","m","26-35","DE","4","AgMDAAAazJMCAAAAAACAPx1Ymk+yjCIpZx10/NzdNik=","AgMDAAAazJMCAAAAAACAP/e/iS4rqF1c1MtW/b2io34=","AgEHDAMIAgA7sDQHzjroCA==","AgEHDAMIAgBPPd0EcKX0Bw=="
"2022-12-02T10:00:00.000Z","af-1 Latest News","affiliate","m","26-35","ES","4","AQMDAAA6zJNTiMqIVu4BMg==","AQMDAAA6zJPyOVE1jBpnDA==","AgEHDAMIAQCnEJUN","AgEHDAMIAQAYlW0F"
"2022-12-02T10:00:00.000Z","af-1 Latest News","affiliate","m","26-35","FR","2","AQMDAAA6zJPMwBzCp0EhIA==","AQMDAAA6zJNigr1+LKwqUA==","AgEHDAMIAQCYgTkM","AgEHDAMIAQAdnm4E"
"2022-12-02T10:00:00.000Z","af-1 Latest News","affiliate","m","26-35","GB","1","AQMDAAA6zJOkgprERP5Pfg==","AQMDAAA6zJPskBxB9Yw1OA==","AgEHDAMIAQBJBTUF","AgEHDAMIAQDzDeQF"
"2022-12-02T10:00:00.000Z","af-1 Latest News","affiliate","m","26-35","IN","1","AQMDAAA6zJNy5LlYCpm8Vw==","AQMDAAA6zJMCFkX0glGRFw==","AgEHDAMIAQDkyHMV","AgEHDAMIAQAphTIG"
"2022-12-02T10:00:00.000Z","af-1 Latest News","affiliate","m","26-35","IT","1","AQMDAAA6zJM24rdbCg3HTA==","AQMDAAA6zJNkczznsR/Pag==","AgEHDAMIAQBsxG8H","AgEHDAMIAQDz5/QG"
"2022-12-02T10:00:00.000Z","af-1 Latest News","affiliate","m","26-35","JP","1","AQMDAAA6zJPdEm+a5n6vUA==","AQMDAAA6zJMjW3c6fuNqLg==","AgEHDAMIAQC7Jd4E","AgEHDAMIAQD0sUcH"
"2022-12-02T10:00:00.000Z","af-1 Latest News","affiliate","m","26-35","LK","3","AQMDAAA6zJNRwsOW/rNqaA==","AQMDAAA6zJM4J2Zuf8X2Aw==","AgEHDAMIAQCjhIcN","AgEHDAMIAQBRP4oE"
"2022-12-02T10:00:00.000Z","af-1 Latest News","affiliate","m","26-35","MX","1","AQMDAAA6zJMJfwIpknb5Iw==","AQMDAAA6zJPhoVvhvOjUBQ==","AgEHDAMIAQAS/gQK","AgEHDAMIAQBNjUIL"
"2022-12-02T10:00:00.000Z","af-1 Latest News","affiliate","m","26-35","NG","7","AgMDAAAazJMCAAAAAACAP0kSbZOvhA8ZIdjSLNUKFms=","AgMDAAAazJMCAAAAAACAP1rRFJf5c8MlL+f7cbxjfGE=","AgEHDAMIAgBCsKUJkyTaBg==","AgEHDAMIAgBX8fcEFnGLBA=="
"2022-12-02T10:00:00.000Z","af-1 Latest News","affiliate","m","26-35","PK","1","AQMDAAA6zJMer73VNtXgCQ==","AQMDAAA6zJMWw0mdIXM6Pw==","AgEHDAMIAQA9XnsH","AgEHDAMIAQDnsLUL"
"2022-12-02T10:00:00.000Z","af-1 Latest News","affiliate","m","26-35","PT","7","AgMDAAAazJMCAAAAAACAP/ZWUuFCXu5EMxvjtIrwmWI=","AgMDAAAazJMCAAAAAACAP0E6ta1gWuthMfb7D4bh82k=","AgEHDAMIAgDtraQGZzbGDQ==","AgEHDAMIAgAYh34Os739Bg=="
"2022-12-02T10:00:00.000Z","af-1 Latest News","affiliate","m","26-35","RU","4","AgMDAAAazJMDAAAAAACAP6rfSb9gtg8QmAqpHzQtJDnBIZIfzZZ6XQ==","AgMDAAAazJMDAAAAAACAPxrINC0fU9IWGdubfACYB2lksaIMrXmEeg==","AgEHDAMIAwAwFVITgkMkF1S/kxo=","AgEHDAMIAwBmxOgKjpOiGyp0ZgY="
"2022-12-02T10:00:00.000Z","af-1 Latest News","affiliate","m","26-35","TH","4","AgMDAAAazJMCAAAAAACAP/TFVNgMmzJSAv64VFeIknI=","AgMDAAAazJMCAAAAAACAP/Gg06yeUKMYuo2eJx25Lkk=","AgEHDAMIAgDpi6kEBfxxCQ==","AgEHDAMIAgAPQPkfLaQiCQ=="
"2022-12-02T10:00:00.000Z","af-1 Latest News","affiliate","m","26-35","US","10","AgMDAAAazJMEAAAAAACAP0JVeAVFFe4RfrN3iuWo3hoEJ6SehL7eRni7Dtpf8TBX","AgMDAAAazJMEAAAAAACAP7HTZLAbrmoFL8azmevRxwgpjJ81YR7mQM4v3Ev0/A1U","AgEHDAMIBACEqvAK8XYdFP1m7wgJTkgF","AgEHDAMIBAA0lZwE82r6B8anogvdiucH"
"2022-12-02T10:00:00.000Z","af-1 Latest News","affiliate","m","36-50","DE","2","AQMDAAA6zJMymb1nuyNCag==","AQMDAAA6zJN5OXROC2nhPg==","AgEHDAMIAQBlMnsP","AgEHDAMIAQB8cqIK"
"2022-12-02T10:00:00.000Z","af-1 Latest News","affiliate","m","36-50","ES","3","AQMDAAA6zJOlfT2Tt+suIQ==","AQMDAAA6zJN4QhCM5sJsOw==","AgEHDAMIAQBL+3oG","AgEHDAMIAQAf9GMG"
"2022-12-02T10:00:00.000Z","af-1 Latest News","affiliate","m","36-50","FR","2","AQMDAAA6zJP+GoOmiCwFXQ==","AQMDAAA6zJMKEu0IVszkLA==","AgEHDAMIAQD8NQYF","AgEHDAMIAQAWZYAQ"
"2022-12-02T10:00:00.000Z","af-1 Latest News","affiliate","m","36-50","GB","6","AQMDAAA6zJME6poDbVIoKQ==","AQMDAAA6zJO1VRAQs1j9Tw==","AgEHDAMIAQAI1DUL","AgEHDAMIAQACvg4H"
"2022-12-02T10:00:00.000Z","af-1 Latest News","affiliate","m","36-50","IN","2","AQMDAAA6zJNMk/3j1e+tUw==","AQMDAAA6zJP8DCEcNFo9Vg==","AgEHDAMIAQCZJvsH","AgEHDAMIAQCbu24T"
"2022-12-02T10:00:00.000Z","af-1 Latest News","affiliate","m","36-50","JP","3","AgMDAAAazJMCAAAAAACAP4ky8Ar74i8K/1iXmOBk2hU=","AgMDAAAazJMCAAAAAACAP+h15ZNwX3JEi2VyDDKOMHw=","AgEHDAMIAgASZeAJ/rEuCQ==","AgEHDAMIAgCea2sEwWWkBQ=="
"2022-12-02T10:00:00.000Z","af-1 Latest News","affiliate","m","36-50","KE","3","AQMDAAA6zJPPKsilGwVgIQ==","AQMDAAA6zJNjmPtJGEZsfQ==","AgEHDAMIAQCeVZAH","AgEHDAMIAQDbqmYH"
"2022-12-02T10:00:00.000Z","af-1 Latest News","affiliate","m","36-50","PK","4","AQMDAAA6zJMwmzmaB6BWQw==","AQMDAAA6zJMPMOEGv3dLcg==","AgEHDAMIAQBgNnME","AgEHDAMIAQBbC4IO"
"2022-12-02T10:00:00.000Z","af-1 Latest News","affiliate","m","36-50","US","2","AQMDAAA6zJPCS9YV66CWAA==","AQMDAAA6zJNlt4g18xJESg==","AgEHDAMIAQCFl6wP","AgEHDAMIAQDiNCkK"
"2022-12-02T10:00:00.000Z","af-1 Latest News","affiliate","m","51-60","BR","11","AgMDAAAazJMEAAAAAACAP1xABkMXh9kDXIk+qiOLfUdruqmdBz5AfO/SvU07eAp9","AgMDAAAazJMEAAAAAACAPyzfhSqcafoJPRJPNsiovhmqEJKvC574PYAsgp8dO5N2","AgEHDAMIBADepXsHuYAMCrgSfQjWdFMH","AgEHDAMIBADgbNwKyvExBjmMHQd66IQI"
"2022-12-02T10:00:00.000Z","af-1 Latest News","affiliate","m","51-60","DE","4","AgMDAAAazJMCAAAAAACAPw65U4bob+YEd+qtEORA42s=","AgMDAAAazJMCAAAAAACAP2uAiAO631sw9hcreZVQHDM=","AgEHDAMIAgAccqcQ7tRbCQ==","AgEHDAMIAgD/NGgGs8KdBQ=="
"2022-12-02T10:00:00.000Z","af-1 Latest News","affiliate","m","51-60","ES","1","AQMDAAA6zJN1IO3bEsBPMA==","AQMDAAA6zJP95mNRvtcwBA==","AgEHDAMIAQDqQNoL","AgEHDAMIAQBDKUIH"
"2022-12-02T10:00:00.000Z","af-1 Latest News","affiliate","m","51-60","FR","6","AgMDAAAazJMCAAAAAACAPwIRbSkrT6wtAoee+Q4UmTE=","AgMDAAAazJMCAAAAAACAPwmYZPFn23EL1DnjDS1gWBk=","AgEHDAMIAgAFItoGBQ49Fw==","AgEHDAMIAgAHszgN7PtZBQ=="
"2022-12-02T10:00:00.000Z","af-1 Latest News","affiliate","m","51-60","GA","2","AQMDAAA6zJN2TOULLmRHbA==","AQMDAAA6zJP/apaTrPkEQA==","AgEHDAMIAQDtmMoH","AgEHDAMIAQCwNuMF"
"2022-12-02T10:00:00.000Z","af-1 Latest News","affiliate","m","51-60","GB","4","AgMDAAAazJMCAAAAAACAP8TZlxyl0Kk9JLS49RfK/EM=","AgMDAAAazJMCAAAAAACAPzINym6LVQ4PE2YkgmyIGRQ=","AgEHDAMIAgBJaHEHiLMvBQ==","AgEHDAMIAgBi6+0K/VA4Fg=="
"2022-12-02T10:00:00.000Z","af-1 Latest News","affiliate","m","51-60","IN","4","AQMDAAA6zJNTOt6ZAjhSUg==","AQMDAAA6zJNiLOTBphKIKA==","AgEHDAMIAQCmdLwH","AgEHDAMIAQC7YNME"
"2022-12-02T10:00:00.000Z","af-1 Latest News","affiliate","m","51-60","KE","3","AQMDAAA6zJNZPZIcRejBBA==","AQMDAAA6zJOw+VlT3Yv6Yg==","AgEHDAMIAQCzeiQN","AgEHDAMIAQBhFzUI"
"2022-12-02T10:00:00.000Z","af-1 Latest News","affiliate","m","51-60","MG","1","AQMDAAA6zJOHub92fiL0Aw==","AQMDAAA6zJNEsqkRNPqxcQ==","AgEHDAMIAQAPc38F","AgEHDAMIAQB9oKIN"
"2022-12-02T10:00:00.000Z","af-1 Latest News","affiliate","m","51-60","PH","1","AQMDAAA6zJNycWHhlCw/DQ==","AQMDAAA6zJMydhNInByPQg==","AgEHDAMIAQDl4sIS","AgEHDAMIAQBZV/QF"
"2022-12-02T10:00:00.000Z","af-1 Latest News","affiliate","m","51-60","PK","3","AQMDAAA6zJOecGJidlZQdw==","AQMDAAA6zJO8nTXbkGBeIg==","AgEHDAMIAQA84cQE","AgEHDAMIAQDDP1EF"
"2022-12-02T10:00:00.000Z","af-1 Latest News","affiliate","m","51-60","PL","2","AQMDAAA6zJOYWK4c7xVtHA==","AQMDAAA6zJO+ZT1/g+kSAg==","AgEHDAMIAQAxsVwF","AgEHDAMIAQBcTxUS"
"2022-12-02T10:00:00.000Z","af-1 Latest News","affiliate","m","51-60","TR","2","AQMDAAA6zJN10Ngmrq5AFA==","AQMDAAA6zJPjYeGOVlTlAQ==","AgEHDAMIAQDroLEJ","AgEHDAMIAQDtxh8G"
"2022-12-02T10:00:00.000Z","af-1 Latest News","affiliate","m","51-60","TW","4","AQMDAAA6zJOYF/pDqTyANg==","AQMDAAA6zJOn6PcDQ6ecEQ==","AgEHDAMIAQAxL/QX","AgEHDAMIAQBOXVIN"
"2022-12-02T10:00:00.000Z","af-1 Latest News","affiliate","m","51-60","US","18","AgMDAAAazJMIAAAAAACAP19N/5GWe4cHk/vf4IiyoweoujquYqMGGMCm9M5ojjkv3JEy3lgLUDCHBJxJiD3pN/x3VFmDQDFeWr5JyOwBhGs=","AgMDAAAazJMIAAAAAACAP6EeE5iS1hAECfAabNguGBFgECyyfH2gNWVqElctf+w+dTrUn2aO7z7izgxYF8iaScZUuK8Nu4VmefUhyNtUfnM=","AwEHDAUIAAEIAAAAgU3pDSb3vwUPCTgHUXV1CLgjZQT476gGtXyTBL6a/gs=","AwEHDAUIAAEIAAAAIdThC6TuFwUp1Y0JTW+lB7XXJAR4+mcG2aS1B7ya1Ag="
"2022-12-02T10:00:00.000Z","af-1 Latest News","affiliate","m","51-60","UY","2","AQMDAAA6zJOhdsMS0tnKIw==","AQMDAAA6zJPZccQpuSpZPw==","AgEHDAMIAQBD7YYJ","AgEHDAMIAQA6jSIF"
"2022-12-02T10:00:00.000Z","af-1 Latest News","affiliate","m","51-60","VN","5","AQMDAAA6zJPe91uaZxB8LA==","AQMDAAA6zJMlYs0TF30bFQ==","AgEHDAMIAQC877cE","AgEHDAMIAQCU5X0H"
"2022-12-02T10:00:00.000Z","af-1 Latest News","affiliate","m","61+","BD","4","AQMDAAA6zJMDm5vaPEUqQQ==","AQMDAAA6zJN1PC0sRlZDNw==","AgEHDAMIAQAHNjcF","AgEHDAMIAQBRpHkI"
"2022-12-02T10:00:00.000Z","af-1 Latest News","affiliate","m","61+","CU","2","AQMDAAA6zJOwL8ulQCRdGA==","AQMDAAA6zJNZ+4+mmOkjPQ==","AgEHDAMIAQBhX5YT","AgEHDAMIAQDHebQH"
"2022-12-02T10:00:00.000Z","af-1 Latest News","affiliate","m","61+","ID","2","AQMDAAA6zJPT5iboLNNPXQ==","AQMDAAA6zJONxQMPKEjnfQ==","AgEHDAMIAQCnzU0E","AgEHDAMIAQC1lbcE"
"2022-12-02T10:00:00.000Z","af-1 Latest News","affiliate","m","61+","IN","5","AQMDAAA6zJOukBLf0enjaw==","AQMDAAA6zJNhDs9VuRctXg==","AgEHDAMIAQBdISUG","AgEHDAMIAQBYLmgJ"
"2022-12-02T10:00:00.000Z","af-1 Latest News","affiliate","m","61+","PH","3","AQMDAAA6zJPjJX6pW/XNFg==","AQMDAAA6zJM6vi2SRsP/Ug==","AgEHDAMIAQDHS/wO","AgEHDAMIAQDC4yoH"
"2022-12-02T10:00:00.000Z","af-1 Latest News","affiliate","m","61+","US","1","AQMDAAA6zJOGc/AwDRkPGw==","AQMDAAA6zJNhxpuQsKHZeQ==","AgEHDAMIAQAM5+AJ","AgEHDAMIAQCFoMoK"
"2022-12-02T10:00:00.000Z","af-1 Latest News","affiliate","w","18-25","AD","7","AQMDAAA6zJNd/0RWAZIVKA==","AQMDAAA6zJPwrLCD9HVJTw==","AgEHDAMIAQC7/okI","AgEHDAMIAQDO/S0F"
"2022-12-02T10:00:00.000Z","af-1 Latest News","affiliate","w","18-25","BR","2","AgMDAAAazJMCAAAAAACAP4csqeGa4IEu1zIyGb2jdVE=","AgMDAAAazJMCAAAAAACAP6BOf2pCDpVrXi+gBbCbtXU=","AgEHDAMIAgCuZWQWD1lSCw==","AgEHDAMIAgCN5xUP0ON5HQ=="
"2022-12-02T10:00:00.000Z","af-1 Latest News","affiliate","w","18-25","CA","2","AQMDAAA6zJNKuQPtVqnYJA==","AQMDAAA6zJMBxwK4fzrpSw==","AgEHDAMIAQCVcgcK","AgEHDAMIAQDfltkK"
"2022-12-02T10:00:00.000Z","af-1 Latest News","affiliate","w","18-25","IE","2","AQMDAAA6zJMsLigrVD6QQg==","AQMDAAA6zJNEttcxQUfGCw==","AgEHDAMIAQBZXFAK","AgEHDAMIAQAU234S"
"2022-12-02T10:00:00.000Z","af-1 Latest News","affiliate","w","18-25","PK","2","AQMDAAA6zJOg+jXrRQ/OOg==","AQMDAAA6zJNIXVQron0wWA==","AgEHDAMIAQBB9WsW","AgEHDAMIAQCQzGcG"
"2022-12-02T10:00:00.000Z","af-1 Latest News","affiliate","w","18-25","TZ","2","AQMDAAA6zJMLuYo58cTYLA==","AQMDAAA6zJOD0PV7n987Ew==","AgEHDAMIAQAXchUL","AgEHDAMIAQD/C6IL"
"2022-12-02T10:00:00.000Z","af-1 Latest News","affiliate","w","18-25","US","3","AQMDAAA6zJMVQtU+3R8NUw==","AQMDAAA6zJMWlOY974e9Mg==","AgEHDAMIAQArhKoJ","AgEHDAMIAQB7xC4L"
"2022-12-02T10:00:00.000Z","af-1 Latest News","affiliate","w","26-35","AR","2","AQMDAAA6zJNkQsDHKmMjMg==","AQMDAAA6zJNTqwY8snAdRg==","AgEHDAMIAQDJhIAH","AgEHDAMIAQBE568O"
"2022-12-02T10:00:00.000Z","af-1 Latest News","affiliate","w","26-35","BD","2","AQMDAAA6zJNoX7+4XnUTIg==","AQMDAAA6zJM1sBoY3T1ddg==","AgEHDAMIAQDQvn4N","AgEHDAMIAQDg8+wH"
"2022-12-02T10:00:00.000Z","af-1 Latest News","affiliate","w","26-35","BE","1","AQMDAAA6zJNLM9Bl9SkqLw==","AQMDAAA6zJP89S5oSldDIA==","AgEHDAMIAQCWZqAH","AgEHDAMIAQB6jmQL"
"2022-12-02T10:00:00.000Z","af-1 Latest News","affiliate","w","26-35","BR","3","AQMDAAA6zJMrpZZq+NOFGQ==","AQMDAAA6zJOjaQ2YBVbpTA==","AgEHDAMIAQBXSi0N","AgEHDAMIAQDzlbsE"
"2022-12-02T10:00:00.000Z","af-1 Latest News","affiliate","w","26-35","CN","1","AQMDAAA6zJNonAnGi9VbFw==","AQMDAAA6zJOo+fOMw70PEg==","AgEHDAMIAQDQOBMQ","AgEHDAMIAQDruncG"
"2022-12-02T10:00:00.000Z","af-1 Latest News","affiliate","w","26-35","CO","4","AQMDAAA6zJN/N/GVynDOcQ==","AQMDAAA6zJPT4QZ0NEMFCg==","AgEHDAMIAQD+buIL","AgEHDAMIAQDeOo8I"
"2022-12-02T10:00:00.000Z","af-1 Latest News","affiliate","w","26-35","CU","5","AQMDAAA6zJNETKHE5DYyFg==","AQMDAAA6zJNJtHZomkkleA==","AgEHDAMIAQCJmEIF","AgEHDAMIAQBapbsF"
"2022-12-02T10:00:00.000Z","af-1 Latest News","affiliate","w","26-35","DE","1","AQMDAAA6zJPwTaS7fVGWAg==","AQMDAAA6zJMGKUDLNlROCg==","AgEHDAMIAQDhm0gL","AgEHDAMIAQCEapoG"
"2022-12-02T10:00:00.000Z","af-1 Latest News","affiliate","w","26-35","ES","4","AQMDAAA6zJOKKmVg1OkNWg==","AQMDAAA6zJM7PK8sKphzbQ==","AgEHDAMIAQAVVcoM","AgEHDAMIAQB7vxsF"
"2022-12-02T10:00:00.000Z","af-1 Latest News","affiliate","w","26-35","FI","3","AgMDAAAazJMCAAAAAACAP0xPDAnxfAsFsmfGJvYLs0w=","AgMDAAAazJMCAAAAAACAP1qG0j5fL0tUsbPmIl3qJn4=","AgEHDAMIAgBkz4wFmZ4YEg==","AgEHDAMIAgAA14UEz+JpCg=="
"2022-12-02T10:00:00.000Z","af-1 Latest News","affiliate","w","26-35","FR","1","AQMDAAA6zJP0x+WOVdkkTA==","AQMDAAA6zJPKsXsIqOR+eQ==","AgEHDAMIAQDpj8sJ","AgEHDAMIAQB0F1oI"
"2022-12-02T10:00:00.000Z","af-1 Latest News","affiliate","w","26-35","GH","4","AQMDAAA6zJPF0W/kvzMvcw==","AQMDAAA6zJPw7x6pTQteZQ==","AgEHDAMIAQCLo98M","AgEHDAMIAQC59KIE"
"2022-12-02T10:00:00.000Z","af-1 Latest News","affiliate","w","26-35","ID","3","AQMDAAA6zJO0gyrNRRM+aQ==","AQMDAAA6zJMM+G1rRh2dLw==","AgEHDAMIAQBoB1UG","AgEHDAMIAQAGkooR"
"2022-12-02T10:00:00.000Z","af-1 Latest News","affiliate","w","26-35","IL","1","AQMDAAA6zJOPhagAdHO8dQ==","AQMDAAA6zJMpcEF/ZmvufQ==","AgEHDAMIAQAeC1EF","AgEHDAMIAQA5QMEL"
"2022-12-02T10:00:00.000Z","af-1 Latest News","affiliate","w","26-35","IN","10","AgMDAAAazJMFAAAAAACAP62hxgECI2ID5ALHCjQIgBKByaqLYYaSVpkHgDftzKtpYZ/y3QmnKnQ=","AgMDAAAazJMFAAAAAACAP+QtGw2WJu0yDKibRlMsXjjG9fhTCo0yUKPm4S+D9rhz50C7AywNCHg=","AgEHDAMIBQDJBY4Fwj7lBwOTVRtaQ40TMw8AEw==","AgEHDAMIBQC6kt8GgUYJB0zOnQVEWNoE8aEqCA=="
"2022-12-02T10:00:00.000Z","af-1 Latest News","affiliate","w","26-35","JP","3","AQMDAAA6zJOGJEeobtWWJg==","AQMDAAA6zJO+uZBQbtT1GA==","AgEHDAMIAQANSY4E","AgEHDAMIAQA1HRMS"
"2022-12-02T10:00:00.000Z","af-1 Latest News","affiliate","w","26-35","MX","1","AQMDAAA6zJMrvqcnhBFmCQ==","AQMDAAA6zJP3vOtWkTWwGA==","AgEHDAMIAQBWfE8H","AgEHDAMIAQBKtzgH"
"2022-12-02T10:00:00.000Z","af-1 Latest News","affiliate","w","26-35","NE","3","AQMDAAA6zJOMepr9SGZ/aQ==","AQMDAAA6zJOwo11cBO1kVA==","AgEHDAMIAQAY9TQH","AgEHDAMIAQA/5PoG"
"2022-12-02T10:00:00.000Z","af-1 Latest News","affiliate","w","26-35","PH","3","AQMDAAA6zJNBYPFrlrrvaw==","AQMDAAA6zJNQnj5nfesbGw==","AgEHDAMIAQCDwOIH","AgEHDAMIAQADAuQL"
"2022-12-02T10:00:00.000Z","af-1 Latest News","affiliate","w","26-35","RS","6","AQMDAAA6zJM34yHXAdAtYg==","AQMDAAA6zJM1HPHCLyvVLQ==","AgEHDAMIAQBvxkMS","AgEHDAMIAQB8SCIQ"
"2022-12-02T10:00:00.000Z","af-1 Latest News","affiliate","w","26-35","RU","3","AQMDAAA6zJPmU/UbT57FOg==","AQMDAAA6zJMVR2w1jfbuSA==","AgEHDAMIAQDNp+oH","AgEHDAMIAQCTrfoG"
"2022-12-02T10:00:00.000Z","af-1 Latest News","affiliate","w","26-35","TN","2","AQMDAAA6zJOwbxgVV3+ZZw==","AQMDAAA6zJMOC7mrNxenEQ==","AgEHDAMIAQBh3zAO","AgEHDAMIAQCfKRQM"
"2022-12-02T10:00:00.000Z","af-1 Latest News","affiliate","w","26-35","TR","2","AQMDAAA6zJMR7IB6W6Z8DQ==","AQMDAAA6zJOtJJUIXGoxBg==","AgEHDAMIAQAi2AEJ","AgEHDAMIAQCfoUMS"
"2022-12-02T10:00:00.000Z","af-1 Latest News","affiliate","w","26-35","TW","2","AQMDAAA6zJOykGo49TKGEg==","AQMDAAA6zJOvZhLDncq2ag==","AgEHDAMIAQBkIdUE","AgEHDAMIAQC2ZowK"
"2022-12-02T10:00:00.000Z","af-1 Latest News","affiliate","w","26-35","TZ","3","AQMDAAA6zJOTDGe7lGGFcw==","AQMDAAA6zJPIXYDKZjKQZA==","AgEHDAMIAQAnGc4O","AgEHDAMIAQD7n2wT"
"2022-12-02T10:00:00.000Z","af-1 Latest News","affiliate","w","26-35","US","23","AgMDAAAazJMKAAAAAACAPw2svY36o68NvCRm9vg+1hdQ9wFybD6qGczNK/v4++EjTauwh69sgyUUGOa/lYlYOVD8NAvCTelLWmKs/KdXuVueBWKB98XzdtnvZVmwdNp4","AgMDAAAazJMKAAAAAACAP9xYlAG1oSMVrZqEJl9gwiFDmBzRfTq3JxnRmgc2VdY7GWrZpZP5GlgpVnjAY/EsWv1Amyr4BEVdM7KJDnsVcGfDfH3UuxZ2cRbPdteLfj15","AwEHDAUIAAEKAAAAoPhpBqHuAwgpMMwHst/LBrXEWBl4ScwEmZtXCptWYQcbWHsTPQvEFg==","AwEHDAUIAAEKAAAAo2yuBSlYuAV1X38U86hyE7V5XBEWDRcEmBBVD/oh+Qm7VtYGvpRQDQ=="
"2022-12-02T10:00:00.000Z","af-1 Latest News","affiliate","w","36-50","DE","4","AQMDAAA6zJM5GuhtKTS9Nw==","AQMDAAA6zJNnu4xQgLYTcw==","AgEHDAMIAQByNNAX","AgEHDAMIAQC+glUR"
"2022-12-02T10:00:00.000Z","af-1 Latest News","affiliate","w","36-50","IN","2","AQMDAAA6zJN/2d9BphObAQ==","AQMDAAA6zJNxegBX4FOpVw==","AgEHDAMIAQD+sr8L","AgEHDAMIAQA5ukMW"
"2022-12-02T10:00:00.000Z","af-1 Latest News","affiliate","w","36-50","KZ","1","AQMDAAA6zJNdcWkD2B+UHA==","AQMDAAA6zJOVEL2isOh6KA==","AgEHDAMIAQC64tIW","AgEHDAMIAQCphFMI"
"2022-12-02T10:00:00.000Z","af-1 Latest News","affiliate","w","36-50","MX","2","AQMDAAA6zJOVLCY7evX5RA==","AQMDAAA6zJOAqN/DUS8hfQ==","AgEHDAMIAQArWUwO","AgEHDAMIAQD7PQER"
"2022-12-02T10:00:00.000Z","af-1 Latest News","affiliate","w","36-50","US","6","AgMDAAAazJMCAAAAAACAPzrCC23BKi4zBSO8ZFnZxXU=","AgMDAAAazJMCAAAAAACAPz9slTwyXd4jyZw1uAdr22g=","AgEHDAMIAgB1hBcOCkZ4BQ==","AgEHDAMIAgBme1QMXPZfBg=="
"2022-12-02T10:00:00.000Z","af-1 Latest News","affiliate","w","51-60","BR","5","AgMDAAAazJMCAAAAAACAPyperc2BV9AtrHWrWIdUuGU=","AgMDAAAazJMCAAAAAACAPxdIQ5j+6tFrvtj8vh9uNns=","AgEHDAMIAgBUvFoHWetWCQ==","AgEHDAMIAgA+lzgGfW6bBg=="
